,relation,freq
0,56,0.5454545454545454
1,82,0.2
2,36,0.001607717041800643
3,73,0.0
4,81,0.0
5,80,0.0
6,79,0.0
7,78,0.0
8,77,0.0
9,76,0.0
10,75,0.0
11,74,0.0
12,72,0.0
13,61,0.0
14,71,0.0
15,70,0.0
16,69,0.0
17,68,0.0
18,67,0.0
19,66,0.0
20,65,0.0
21,64,0.0
22,63,0.0
23,83,0.0
24,12,0.0
25,84,0.0
26,96,0.0
27,106,0.0
28,105,0.0
29,104,0.0
30,103,0.0
31,102,0.0
32,100,0.0
33,99,0.0
34,98,0.0
35,97,0.0
36,95,0.0
37,85,0.0
38,94,0.0
39,93,0.0
40,92,0.0
41,91,0.0
42,90,0.0
43,89,0.0
44,88,0.0
45,87,0.0
46,86,0.0
47,62,0.0
48,59,0.0
49,60,0.0
50,24,0.0
51,33,0.0
52,32,0.0
53,31,0.0
54,30,0.0
55,29,0.0
56,28,0.0
57,27,0.0
58,26,0.0
59,25,0.0
60,23,0.0
61,13,0.0
62,22,0.0
63,21,0.0
64,20,0.0
65,19,0.0
66,18,0.0
67,17,0.0
68,16,0.0
69,15,0.0
70,14,0.0
71,34,0.0
72,35,0.0
73,37,0.0
74,38,0.0
75,58,0.0
76,57,0.0
77,55,0.0
78,54,0.0
79,53,0.0
80,52,0.0
81,51,0.0
82,50,0.0
83,49,0.0
84,48,0.0
85,47,0.0
86,46,0.0
87,45,0.0
88,44,0.0
89,43,0.0
90,42,0.0
91,41,0.0
92,40,0.0
93,39,0.0
94,107,0.0
