,relation,freq
0,154,1.0
1,188,0.8820224719101124
2,122,0.8520152396230198
3,206,0.8403908794788274
4,203,0.832258064516129
5,247,0.7933884297520661
6,241,0.6219312602291326
7,51,0.6
8,81,0.5842293906810035
9,221,0.5
10,196,0.4166666666666667
11,246,0.4
12,53,0.4
13,43,0.34375
14,131,0.3333333333333333
15,125,0.3235294117647059
16,104,0.30921985815602837
17,155,0.2926829268292683
18,95,0.2916666666666667
19,42,0.2823529411764706
20,164,0.26666666666666666
21,153,0.25
22,129,0.22150139017608897
23,59,0.1917808219178082
24,97,0.17552742616033756
25,236,0.17543859649122806
26,150,0.175
27,119,0.16560509554140126
28,116,0.16216216216216217
29,120,0.15535444947209653
30,93,0.14285714285714285
31,46,0.13729977116704806
32,260,0.13445378151260504
33,124,0.13333333333333333
34,145,0.12857142857142856
35,222,0.11516143431037049
36,44,0.11155378486055777
37,204,0.1111111111111111
38,187,0.10909090909090909
39,156,0.1042830540037244
40,158,0.1016949152542373
41,233,0.1016949152542373
42,52,0.10084033613445378
43,256,0.09826589595375723
44,212,0.09555345316934721
45,79,0.09523809523809523
46,86,0.0761904761904762
47,160,0.05555555555555555
48,165,0.05128205128205128
49,112,0.05107370864770749
50,71,0.046511627906976744
51,87,0.041237113402061855
52,98,0.0392156862745098
53,251,0.038461538461538464
54,227,0.03784403669724771
55,144,0.037209302325581395
56,214,0.037037037037037035
57,111,0.035211267605633804
58,70,0.03389830508474576
59,182,0.0335195530726257
60,234,0.03292181069958848
61,245,0.02857142857142857
62,197,0.02702702702702703
63,73,0.018018018018018018
64,143,0.016
65,231,0.014814814814814815
66,99,0.012269938650306749
67,163,0.007936507936507936
68,133,0.007142857142857143
69,173,0.0
70,174,0.0
71,195,0.0
72,175,0.0
73,176,0.0
74,177,0.0
75,178,0.0
76,172,0.0
77,185,0.0
78,179,0.0
79,194,0.0
80,186,0.0
81,193,0.0
82,180,0.0
83,192,0.0
84,191,0.0
85,181,0.0
86,190,0.0
87,189,0.0
88,198,0.0
89,184,0.0
90,183,0.0
91,32,0.0
92,199,0.0
93,229,0.0
94,232,0.0
95,235,0.0
96,237,0.0
97,238,0.0
98,239,0.0
99,240,0.0
100,242,0.0
101,243,0.0
102,244,0.0
103,248,0.0
104,249,0.0
105,250,0.0
106,252,0.0
107,253,0.0
108,254,0.0
109,255,0.0
110,257,0.0
111,258,0.0
112,259,0.0
113,230,0.0
114,228,0.0
115,200,0.0
116,226,0.0
117,201,0.0
118,202,0.0
119,205,0.0
120,207,0.0
121,208,0.0
122,209,0.0
123,210,0.0
124,211,0.0
125,213,0.0
126,170,0.0
127,215,0.0
128,216,0.0
129,217,0.0
130,218,0.0
131,219,0.0
132,220,0.0
133,223,0.0
134,224,0.0
135,225,0.0
136,171,0.0
137,147,0.0
138,169,0.0
139,77,0.0
140,65,0.0
141,66,0.0
142,67,0.0
143,68,0.0
144,69,0.0
145,72,0.0
146,74,0.0
147,75,0.0
148,76,0.0
149,78,0.0
150,168,0.0
151,80,0.0
152,82,0.0
153,83,0.0
154,84,0.0
155,85,0.0
156,88,0.0
157,89,0.0
158,90,0.0
159,91,0.0
160,64,0.0
161,63,0.0
162,62,0.0
163,61,0.0
164,34,0.0
165,35,0.0
166,36,0.0
167,37,0.0
168,38,0.0
169,39,0.0
170,40,0.0
171,41,0.0
172,45,0.0
173,47,0.0
174,48,0.0
175,49,0.0
176,50,0.0
177,54,0.0
178,55,0.0
179,56,0.0
180,57,0.0
181,58,0.0
182,60,0.0
183,92,0.0
184,94,0.0
185,96,0.0
186,134,0.0
187,136,0.0
188,137,0.0
189,138,0.0
190,139,0.0
191,140,0.0
192,141,0.0
193,142,0.0
194,146,0.0
195,33,0.0
196,148,0.0
197,149,0.0
198,151,0.0
199,152,0.0
200,157,0.0
201,159,0.0
202,161,0.0
203,162,0.0
204,166,0.0
205,167,0.0
206,135,0.0
207,132,0.0
208,100,0.0
209,130,0.0
210,101,0.0
211,102,0.0
212,103,0.0
213,105,0.0
214,106,0.0
215,107,0.0
216,108,0.0
217,109,0.0
218,110,0.0
219,113,0.0
220,114,0.0
221,115,0.0
222,117,0.0
223,118,0.0
224,121,0.0
225,123,0.0
226,126,0.0
227,127,0.0
228,128,0.0
229,261,0.0
